field,definition,unit,source
merchant_abn,Australian Business Number of the merchant; primary key,id,derived
merchant_name,"Merchant trading name, from tbl_merchants",string,derived
merchant_category,One of 25 categories parsed from tbl_merchants.tags,category,derived
merchant_pricing_level,"Pricing/risk tier parsed from tbl_merchants.tags, A (lowest) to E (highest)",category A-E,derived
merchant_take_rate_pct,BNPL take rate parsed from tbl_merchants.tags,percent,derived
has_merchant_master_record,"False for merchant_abn seen in transactions but absent from tbl_merchants (396 of 4,422); category/pricing/take rate are null in that case. Kept for audit; whether these should be eligible for the final recommendation list is a separate policy decision",boolean,derived
total_transactions,"Count of curated transactions for this merchant, all time (交易规模)",count,derived
total_revenue,"Sum of dollar_value across this merchant's curated transactions, all time (交易规模)",AUD,derived
avg_transaction_value,"total_revenue / total_transactions, all time (客单价)",AUD,derived
unique_consumers,"Distinct consumer_id count for this merchant, all time",count,derived
repeat_consumer_share,"Share of this merchant's consumers with more than one transaction, all time (复购)",proportion 0-1,derived
first_order_date,Earliest curated transaction date for this merchant,date,derived
last_order_date,Latest curated transaction date for this merchant,date,derived
active_months_all_time,"Distinct (order_year, order_month) buckets with >=1 transaction, all time including the two partial calendar months (2021-02, 2022-10); NOT the basis for the trend/CV below",count,derived
potential_months_in_window,"Number of calendar months between this merchant's first and last transaction, clipped to the full-month window (2021, 3)..(2022, 9); the denominator for the trend/CV estimate below",count,derived
active_months_in_window,"Of potential_months_in_window, how many actually had a transaction (the rest are zero-filled, not missing)",count,derived
normalized_monthly_revenue_trend,"Linear trend slope of monthly revenue vs. month, divided by mean monthly revenue (regr_slope/regr_avgy), over the zero-filled full-month window; positive = growing. This is a normalised slope, NOT a month-over-month or year-over-year growth rate -- do not read it as a percentage change (增长)","proportion of mean revenue, per month",derived
monthly_revenue_cv,Coefficient of variation (stddev/mean) of monthly revenue over the same zero-filled window; higher = less stable (稳定性),ratio,derived
low_sample_short_window,True when potential_months_in_window < 3 (including merchants with no activity inside the window at all). Team-chosen threshold; see low_sample_threshold_comparison.csv for how alternates change the count,boolean,derived
transactions_in_window,"Count of this merchant's transactions falling inside the fixed growth window (2021-03..2022-09) -- NOT the same as total_transactions (all-time). This is the basis for low_sample_few_transactions, since the growth/CV estimate only ever looks at the window: a review found 18 merchants with 10-12 transactions all-time but only 8-9 inside the window, which total_transactions alone would not have caught",count,derived
